Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Climate Watch,Other Fuel Combustion,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058118,0.097123,0.109797,0.122491,0.137755,0.137928,0.141132,0.225134,0.154758,0.067716,0.047099,0.039317,0.039867
AFG,Climate Watch,Other Fuel Combustion,N2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0
AFG,Climate Watch,Total excluding LULUCF,All GHG,13.6538,12.2011,11.7633,12.0252,12.1708,12.6053,13.7292,14.7499,15.6192,16.5968,14.682,12.8338,15.6877,16.4722,16.0858,17.3241,17.7808,18.5116,21.4893,24.2244,28.4895,32.1021,30.3366,29.542,29.8244,29.902,28.9538,29.5917,30.7385,30.9212,31.8122,30.5603,31.0809,31.5245
AFG,Climate Watch,Total excluding LULUCF,CH4,9.00964,7.60361,7.63288,7.85078,8.21322,8.5821,9.54989,10.3598,10.9917,11.9183,10.5141,8.99343,11.0847,11.4866,11.4752,11.8957,12.1566,12.3698,13.5438,13.8251,15.6783,15.8031,15.7331,15.714,15.8992,15.2669,15.1233,14.8535,15.2031,15.3762,15.5539,15.7409,15.9918,16.2151
AFG,Climate Watch,Total excluding LULUCF,CO2,2.04477,1.93993,1.5243,1.52792,1.49326,1.4591,1.40842,1.34347,1.31735,1.12179,1.07986,1.0894,1.4033,1.65339,1.29255,1.96181,2.2839,2.84829,4.37652,6.56021,8.57784,11.9636,10.2077,9.36957,9.17403,9.90208,9.08918,9.78561,10.7044,10.9128,11.6571,10.3375,10.6209,10.7088
AFG,Climate Watch,Total excluding LULUCF,F-Gas,0.013512,0.012572,0.0116321,0.0106921,0.0097521,0.00881212,0.00838224,0.00795235,0.00752246,0.00709257,0.00666269,0.0155894,0.024516,0.0334427,0.0423694,0.0512961,0.064779,0.0782619,0.0917449,0.105228,0.118711,0.129189,0.139667,0.150145,0.160623,0.171101,0.19261,0.214119,0.235628,0.257137,0.278645,0.295674,0.312702,0.329731
AFG,Climate Watch,Total excluding LULUCF,N2O,2.58588,2.64497,2.59447,2.63577,2.45458,2.55532,2.76255,3.03871,3.30255,3.5496,3.08136,2.73542,3.17515,3.29872,3.27567,3.4153,3.2756,3.21521,3.47724,3.73389,4.11458,4.20615,4.25614,4.30827,4.59053,4.56194,4.54868,4.7385,4.59533,4.37503,4.32255,4.18619,4.15555,4.27082
AFG,Climate Watch,Total including LULUCF,All GHG,13.6539,12.2011,11.7633,12.0252,12.1709,12.6054,13.7294,14.75,15.6195,16.5969,14.6827,12.8338,15.6877,16.4722,16.0858,17.3241,17.7808,18.5116,21.4893,24.2244,28.4895,32.1021,30.3366,29.542,29.8244,29.902,28.9538,29.5917,30.7385,30.9212,31.8122,30.5603,31.0809,31.5245
AFG,Climate Watch,Total including LULUCF,CH4,9.00967,7.60365,7.63291,7.85081,8.21326,8.58213,9.55002,10.3599,10.9919,11.9183,10.5146,8.99343,11.0847,11.4866,11.4752,11.8957,12.1566,12.3698,13.5438,13.8251,15.6783,15.8031,15.7331,15.714,15.8992,15.2669,15.1233,14.8535,15.2031,15.3762,15.5539,15.7409,15.9918,16.2151
AFG,Climate Watch,Total including LULUCF,CO2,2.04477,1.93993,1.5243,1.52792,1.49326,1.4591,1.40842,1.34347,1.31735,1.12179,1.07986,1.0894,1.4033,1.65339,1.29255,1.96181,2.2839,2.84829,4.37652,6.56021,8.57784,11.9636,10.2077,9.36957,9.17403,9.90208,9.08918,9.78561,10.7044,10.9128,11.6571,10.3375,10.6209,10.7088
AFG,Climate Watch,Total including LULUCF,F-Gas,0.013512,0.012572,0.0116321,0.0106921,0.0097521,0.00881212,0.00838224,0.00795235,0.00752246,0.00709257,0.00666269,0.0155894,0.024516,0.0334427,0.0423694,0.0512961,0.064779,0.0782619,0.0917449,0.105228,0.118711,0.129189,0.139667,0.150145,0.160623,0.171101,0.19261,0.214119,0.235628,0.257137,0.278645,0.295674,0.312702,0.329731
AFG,Climate Watch,Total including LULUCF,N2O,2.58591,2.645,2.5945,2.63579,2.45461,2.55535,2.76263,3.03876,3.30265,3.54963,3.0816,2.73542,3.17515,3.29872,3.27567,3.4153,3.2756,3.21521,3.47724,3.73389,4.11458,4.20615,4.25614,4.30827,4.59053,4.56194,4.54868,4.7385,4.59533,4.37503,4.32255,4.18619,4.15555,4.27082
