year,annex2_co2_excLUC,annex1_co2_excLUC,world_co2_excLUC,annex2_co2_incLUC,annex1_co2_incLUC,world_co2_incLUC,annex2_ghg_excLUC,annex1_ghg_excLUC,world_ghg_excLUC,annex2_ghg_incLUC,annex1_ghg_incLUC,world_ghg_incLUC
1899,0.016216,0.017190,0.017280,0.060630,0.079165,0.089486,0.026306,0.029859,0.031100,0.083511,0.108520,0.123465
1900,0.017024,0.018068,0.018163,0.062576,0.081679,0.092377,0.027424,0.031145,0.032447,0.086145,0.111934,0.127454
1901,0.017857,0.018973,0.019076,0.064547,0.084251,0.095353,0.028567,0.032464,0.033828,0.088803,0.115410,0.131538
1902,0.018715,0.019901,0.020011,0.066540,0.086849,0.098371,0.029735,0.033802,0.035232,0.091480,0.118911,0.135667
1903,0.019656,0.020913,0.021031,0.068602,0.089535,0.101489,0.031017,0.035252,0.036751,0.094257,0.122530,0.139932
1904,0.020603,0.021936,0.022062,0.070702,0.092275,0.104639,0.032308,0.036720,0.038286,0.097071,0.126210,0.144211
1905,0.021619,0.023025,0.023161,0.072855,0.095087,0.107899,0.033701,0.038280,0.039919,0.099971,0.129990,0.148661
1906,0.022674,0.024162,0.024309,0.075058,0.097966,0.111239,0.035159,0.039919,0.041640,0.102944,0.133869,0.153234
1907,0.023871,0.025449,0.025617,0.077387,0.100994,0.114740,0.036819,0.041774,0.043588,0.106100,0.137964,0.158039
1908,0.025012,0.026682,0.026874,0.079659,0.103980,0.118210,0.038366,0.043520,0.045434,0.109142,0.141963,0.162767
1909,0.026201,0.027968,0.028183,0.081990,0.107045,0.121769,0.039992,0.045351,0.047367,0.112270,0.146075,0.167622
1910,0.027451,0.029312,0.029557,0.084378,0.110034,0.125246,0.041682,0.047245,0.049236,0.115457,0.150115,0.172232
1911,0.028714,0.030675,0.030951,0.086778,0.113000,0.128784,0.043390,0.049157,0.051268,0.118660,0.154129,0.177088
1912,0.030040,0.032110,0.032417,0.089205,0.115989,0.132289,0.045185,0.051172,0.053369,0.121917,0.158194,0.181826
1913,0.031474,0.033662,0.034004,0.091747,0.119065,0.135955,0.047157,0.053372,0.055691,0.125361,0.162413,0.186914
1914,0.032778,0.035068,0.035444,0.094165,0.121977,0.139476,0.048907,0.055326,0.057776,0.128590,0.166366,0.191771
1915,0.034063,0.036450,0.036862,0.096542,0.124820,0.142942,0.050614,0.057220,0.059814,0.131754,0.170211,0.196554
1916,0.035449,0.037940,0.038393,0.099007,0.127762,0.146443,0.052470,0.059268,0.062008,0.135055,0.174199,0.201399
1917,0.036901,0.039496,0.039994,0.101548,0.130726,0.150051,0.054420,0.061394,0.064308,0.138465,0.178222,0.206411
1918,0.038350,0.041026,0.041573,0.104084,0.133637,0.153617,0.056345,0.063427,0.066527,0.141838,0.182120,0.211326
1919,0.039620,0.042338,0.042943,0.106433,0.136313,0.156960,0.057983,0.065107,0.068411,0.144919,0.185645,0.215898
1920,0.041065,0.043858,0.044540,0.109027,0.139328,0.160706,0.059867,0.067066,0.070606,0.148317,0.189580,0.220959
1921,0.042308,0.045178,0.045943,0.111464,0.142215,0.164353,0.061416,0.068684,0.072470,0.151434,0.193251,0.225795
1922,0.043619,0.046567,0.047413,0.113992,0.145198,0.168098,0.063080,0.070421,0.074460,0.154700,0.197079,0.230802
1923,0.045129,0.048151,0.049080,0.116726,0.148407,0.172092,0.065018,0.072430,0.076780,0.158254,0.201216,0.236223
1924,0.046636,0.049738,0.050754,0.119454,0.151588,0.176067,0.066959,0.074452,0.079080,0.161820,0.205340,0.241588
1925,0.048160,0.051341,0.052438,0.122214,0.154835,0.180113,0.068891,0.076470,0.081379,0.165402,0.209522,0.247025
1926,0.049647,0.052921,0.054094,0.124928,0.158057,0.184138,0.070725,0.078410,0.083595,0.168884,0.213630,0.252398
1927,0.051270,0.054654,0.055902,0.127772,0.161431,0.188317,0.072722,0.080535,0.086005,0.172532,0.217929,0.257979
1928,0.052879,0.056381,0.057701,0.130613,0.164813,0.192513,0.074720,0.082674,0.088433,0.176203,0.222264,0.263613
1929,0.054605,0.058238,0.059632,0.133566,0.168348,0.196865,0.076873,0.084989,0.091046,0.180033,0.226805,0.269469
1930,0.056177,0.059950,0.061415,0.136336,0.171781,0.201094,0.078779,0.087094,0.093452,0.183595,0.231186,0.275154
1931,0.057552,0.061476,0.063009,0.138932,0.175080,0.205173,0.080379,0.088928,0.095584,0.186885,0.235364,0.280618
1932,0.058768,0.062846,0.064446,0.141358,0.178231,0.209114,0.081719,0.090501,0.097488,0.189909,0.239306,0.285889
1933,0.060046,0.064287,0.065961,0.143835,0.181439,0.213111,0.083099,0.092130,0.099464,0.192973,0.243305,0.291227
1934,0.061419,0.065850,0.067607,0.146415,0.184781,0.217265,0.084692,0.094038,0.101741,0.196267,0.247611,0.296905
1935,0.062846,0.067484,0.069335,0.149005,0.188169,0.221544,0.086366,0.096068,0.104180,0.199606,0.252029,0.302826
1936,0.064410,0.069281,0.071230,0.151762,0.191776,0.225977,0.088198,0.098309,0.106825,0.203152,0.256742,0.308948
1937,0.066088,0.071201,0.073255,0.154619,0.195493,0.230532,0.090162,0.100708,0.109638,0.206841,0.261630,0.315258
1938,0.067636,0.073005,0.075159,0.157352,0.199111,0.234984,0.091939,0.102990,0.112331,0.210371,0.266446,0.321498
