year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1972,9869.021,13911.972,9462.077,10033.124,14409.953,7196.868,,,,9869.021,13911.973,9461.820,9878.157,13942.295,7192.758,10043.068,14190.299,7763.486,,,,,,
1973,10261.223,14490.379,9359.627,10434.398,14928.282,7502.351,,,,10261.223,14490.379,9359.382,10272.486,14500.541,7472.239,10480.620,14811.649,7733.909,,,,,,
1974,10012.771,14335.182,9442.237,10125.318,14693.102,7647.216,,,,10012.771,14335.182,9441.919,10057.911,14427.260,7644.589,10226.540,14664.990,7903.731,,,,,,
1975,9600.489,14100.059,9429.275,9551.116,14279.068,7967.647,,,,9600.489,14100.059,9428.945,9597.199,14099.625,7898.317,9838.757,14448.441,7970.032,,,,,,
1976,10085.845,14776.750,9460.753,10124.869,15025.289,8389.986,,,,10085.846,14776.751,9460.515,10049.213,14752.342,8144.446,10334.289,15157.954,8112.160,,,,,,
1977,10455.789,15258.948,10411.847,10214.230,15229.307,8649.329,,,,10455.789,15258.948,10411.572,10139.583,14977.461,8462.246,10633.390,15598.066,8829.659,,,,,,
1978,10534.876,15511.655,10715.238,10473.272,15617.193,8927.057,,,,10534.876,15511.656,10715.037,10318.797,15283.165,8835.844,10692.987,15819.918,9184.202,,,,,,
1979,10756.947,15689.609,9999.423,10738.378,15903.971,9068.661,,,,10756.947,15689.609,9999.199,10546.509,15506.470,8781.538,10915.219,16029.867,8661.599,,,,,,
1980,10507.918,15747.280,10066.634,10356.313,15644.462,8978.444,,,,10507.919,15747.280,10066.377,10288.237,15503.215,8714.879,10642.287,16039.565,8769.797,,,,,,
1981,10125.612,15079.916,10079.623,9981.618,15119.623,9099.427,,,,10125.612,15079.916,10079.363,9880.402,14875.730,8710.448,10231.457,15377.276,8732.932,,,,,,
1982,9643.679,14694.739,9877.209,9529.259,14725.593,9980.125,,,,9643.679,14694.739,9876.979,9437.892,14516.349,8841.926,9743.180,15004.517,8683.348,,,,,,
1983,9776.316,14920.639,10360.312,9486.057,14737.777,10349.640,,,,9776.315,14920.639,10360.074,9339.197,14431.259,9185.387,9764.414,15095.803,9109.439,,,,,,
1984,9930.899,15131.069,11415.274,9729.618,15040.739,10851.629,,,,9930.900,15131.069,11415.116,9636.875,14782.071,9773.332,9948.985,15351.714,10069.766,,,,,,
1985,9922.738,15453.356,12074.313,9780.909,15379.949,11249.325,,,,9922.738,15453.356,12074.152,9667.200,15154.064,10407.576,9976.755,15716.874,10846.366,,,,,,
1986,9813.083,15396.915,12661.312,9750.676,15387.275,11560.913,,,,9813.083,15396.915,12661.151,9625.102,15096.442,10888.510,9856.587,15631.389,11239.720,,,,,,
1987,10051.741,15580.746,12354.073,10011.211,15656.185,11878.071,,,,10051.741,15580.746,12353.908,9857.927,15339.302,11018.608,10093.601,15845.203,11040.224,,,,,,
